Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15,Untitled 16,Untitled 17,Untitled 18
2.47686,0.001004,0.000001,2.47686,-0.102879,3.177131,2.814328,0.001037,0.000001,2.814328,0.289207,3.533971,7.428843,0.002351,0.002351,8.440906,0.002455,0.002455,1
2.47673,0.00102,0.000001,2.47673,-0.026119,2.987732,2.814364,0.00105,0.000001,2.814364,-0.061068,3.035224,7.429254,0.001235,0.001235,8.44215,0.003436,0.003436,1
2.47673,0.001003,0.000001,2.476731,-0.026261,3.343523,2.814461,0.001056,0.000001,2.814461,-0.054606,2.901676,7.429459,0.001405,0.001405,8.443184,0.001877,0.001877,1
2.476812,0.00096,0.000001,2.476812,-0.026348,2.569362,2.814301,0.001063,0.000001,2.814302,0.004626,3.794262,7.431817,0.001587,0.001587,8.441849,0.001251,0.001251,1
2.476782,0.001021,0.000001,2.476782,0.025253,3.002414,2.814356,0.001051,0.000001,2.814356,-0.083095,3.239362,7.432578,0.001847,0.001847,8.439486,0.000813,0.000813,1
2.476814,0.001,0.000001,2.476814,-0.018786,2.78071,2.814432,0.001049,0.000001,2.814432,-0.000579,2.903502,7.429976,0.002622,0.002622,8.442737,0.000719,0.000719,1
2.476806,0.001083,0.000001,2.476806,0.271086,2.995441,2.814274,0.001166,0.000001,2.814274,-0.110275,3.197741,7.429393,0.000487,0.000487,8.443603,0.001414,0.001414,1
2.47682,0.001057,0.000001,2.47682,0.210802,3.03695,2.814353,0.001075,0.000001,2.814354,-0.136276,3.16891,7.434082,0.002422,0.002422,8.443513,0.002028,0.002028,1
2.476775,0.001072,0.000001,2.476775,-0.009067,2.849319,2.814355,0.001061,0.000001,2.814355,0.13436,3.082375,7.433934,0.002403,0.002403,8.441509,0.001486,0.001486,1
2.476808,0.001132,0.000001,2.476808,0.069762,2.821839,2.814387,0.001091,0.000001,2.814388,-0.092367,3.458092,7.432283,0.001825,0.001825,8.441047,0.002194,0.002194,1
2.476716,0.001151,0.000001,2.476717,-0.045359,2.973504,2.814371,0.001108,0.000001,2.814371,0.056956,2.873408,7.427454,0.000771,0.000771,8.4473,0.002653,0.002653,1
2.476795,0.001137,0.000001,2.476795,0.04929,3.024284,2.814284,0.001102,0.000001,2.814285,-0.174279,2.99682,7.431626,0.001291,0.001291,8.438955,0.00258,0.00258,1
